"week_num","Town","Result","Test_Type_Expanded","Pools_Tested","Total_Tested","Positive_Pools","MIR"
"2007-22","Easton","Negative",NA,4,140,0,0
"2007-22","New Bedford","Negative",NA,2,18,0,0
"2007-22","Raynham","Negative",NA,1,29,0,0
"2007-22","Rehoboth","Negative",NA,2,91,0,0
"2007-22","Westport","Negative",NA,1,23,0,0
"2007-23","Attleboro","Negative",NA,4,127,0,0
"2007-23","Easton","Negative",NA,13,592,0,0
"2007-23","Fairhaven","Negative",NA,1,6,0,0
"2007-23","Fall River","Negative",NA,2,14,0,0
"2007-23","Freetown","Negative",NA,33,1486,0,0
"2007-23","New Bedford","Negative",NA,2,46,0,0
"2007-23","Norton","Negative",NA,1,27,0,0
"2007-23","Raynham","Negative",NA,10,440,0,0
"2007-23","Rehoboth","Negative",NA,5,172,0,0
"2007-23","Swansea","Negative",NA,2,21,0,0
"2007-23","Westport","Negative",NA,1,32,0,0
"2007-24","Easton","Negative",NA,3,100,0,0
"2007-24","Freetown","Negative",NA,1,15,0,0
"2007-24","New Bedford","Negative",NA,1,50,0,0
"2007-24","Raynham","Negative",NA,6,227,0,0
"2007-24","Rehoboth","Negative",NA,4,120,0,0
"2007-24","Swansea","Negative",NA,1,9,0,0
"2007-24","Westport","Negative",NA,5,79,0,0
"2007-25","Acushnet","Negative",NA,2,35,0,0
"2007-25","Dartmouth","Negative",NA,2,22,0,0
"2007-25","Easton","Negative",NA,13,615,0,0
"2007-25","Fall River","Negative",NA,7,95,0,0
"2007-25","Freetown","Negative",NA,9,337,0,0
"2007-25","New Bedford","Negative",NA,10,226,0,0
"2007-25","Raynham","Negative",NA,10,373,0,0
"2007-25","Rehoboth","Negative",NA,5,181,0,0
"2007-25","Seekonk","Negative",NA,3,38,0,0
"2007-25","Swansea","Negative",NA,3,29,0,0
"2007-25","Westport","Negative",NA,10,385,0,0
"2007-26","Acushnet","Negative",NA,3,85,0,0
"2007-26","Easton","Negative",NA,19,842,0,0
"2007-26","Fairhaven","Negative",NA,3,39,0,0
"2007-26","Fall River","Negative",NA,6,192,0,0
"2007-26","Freetown","Negative",NA,3,60,0,0
"2007-26","New Bedford","Negative",NA,7,224,0,0
"2007-26","Raynham","Negative",NA,10,451,0,0
"2007-26","Rehoboth","Negative",NA,2,61,0,0
"2007-26","Seekonk","Negative",NA,1,41,0,0
"2007-26","Swansea","Negative",NA,3,91,0,0
"2007-26","Westport","Negative",NA,8,223,0,0
"2007-27","Acushnet","Negative",NA,3,114,0,0
"2007-27","Dartmouth","Negative",NA,2,38,0,0
"2007-27","Easton","Negative",NA,8,244,0,0
"2007-27","Fall River","Negative",NA,10,327,0,0
"2007-27","Freetown","Negative",NA,12,363,0,0
"2007-27","New Bedford","Negative",NA,2,39,0,0
"2007-27","Raynham","Negative",NA,6,179,0,0
"2007-27","Raynham","Positive","EEE",1,12,1,83.3333333333333
"2007-27","Rehoboth","Negative",NA,2,40,0,0
"2007-27","Seekonk","Negative",NA,2,78,0,0
"2007-27","Swansea","Negative",NA,6,266,0,0
"2007-27","Taunton","Negative",NA,2,8,0,0
"2007-27","Westport","Negative",NA,6,186,0,0
"2007-28","Acushnet","Negative",NA,7,344,0,0
"2007-28","Berkley","Negative",NA,5,154,0,0
"2007-28","Dartmouth","Negative",NA,3,70,0,0
"2007-28","Easton","Negative",NA,15,587,0,0
"2007-28","Fairhaven","Negative",NA,1,24,0,0
"2007-28","Fall River","Negative",NA,4,69,0,0
"2007-28","Freetown","Negative",NA,9,172,0,0
"2007-28","New Bedford","Negative",NA,8,199,0,0
"2007-28","Norton","Negative",NA,2,63,0,0
"2007-28","Raynham","Negative",NA,23,762,0,0
"2007-28","Rehoboth","Negative",NA,4,51,0,0
"2007-28","Seekonk","Negative",NA,1,11,0,0
"2007-28","Swansea","Negative",NA,2,63,0,0
"2007-28","Westport","Negative",NA,10,291,0,0
"2007-29","Acushnet","Negative",NA,4,133,0,0
"2007-29","Berkley","Negative",NA,4,115,0,0
"2007-29","Dartmouth","Negative",NA,2,25,0,0
"2007-29","Easton","Negative",NA,17,719,0,0
"2007-29","Fairhaven","Negative",NA,1,25,0,0
"2007-29","Fall River","Negative",NA,9,346,0,0
"2007-29","Freetown","Negative",NA,13,481,0,0
"2007-29","New Bedford","Negative",NA,9,220,0,0
"2007-29","Raynham","Negative",NA,30,1253,0,0
"2007-29","Rehoboth","Negative",NA,5,162,0,0
"2007-29","Seekonk","Negative",NA,1,34,0,0
"2007-29","Swansea","Negative",NA,1,48,0,0
"2007-29","Westport","Negative",NA,12,406,0,0
"2007-30","Acushnet","Negative",NA,4,181,0,0
"2007-30","Berkley","Negative",NA,3,111,0,0
"2007-30","Berkley","Positive","WNV",1,34,1,29.4117647058824
"2007-30","Dartmouth","Negative",NA,2,58,0,0
"2007-30","Easton","Negative",NA,13,456,0,0
"2007-30","Fairhaven","Negative",NA,2,58,0,0
"2007-30","Fall River","Negative",NA,6,194,0,0
"2007-30","Freetown","Negative",NA,7,179,0,0
"2007-30","New Bedford","Negative",NA,10,296,0,0
"2007-30","Raynham","Negative",NA,16,571,0,0
"2007-30","Rehoboth","Negative",NA,2,54,0,0
"2007-30","Seekonk","Negative",NA,4,191,0,0
"2007-30","Swansea","Negative",NA,3,101,0,0
"2007-30","Westport","Negative",NA,7,158,0,0
"2007-31","Acushnet","Negative",NA,4,193,0,0
"2007-31","Berkley","Negative",NA,12,149,0,0
"2007-31","Dartmouth","Negative",NA,2,57,0,0
"2007-31","Easton","Negative",NA,11,423,0,0
"2007-31","Fairhaven","Negative",NA,2,69,0,0
"2007-31","Fall River","Negative",NA,4,85,0,0
"2007-31","Freetown","Negative",NA,11,245,0,0
"2007-31","New Bedford","Negative",NA,13,495,0,0
"2007-31","Norton","Negative",NA,3,104,0,0
"2007-31","Raynham","Negative",NA,15,526,0,0
"2007-31","Rehoboth","Negative",NA,3,52,0,0
"2007-31","Seekonk","Positive","EEE",1,16,1,62.5
"2007-31","Swansea","Negative",NA,2,47,0,0
"2007-31","Taunton","Negative",NA,2,22,0,0
"2007-31","Westport","Negative",NA,8,210,0,0
"2007-32","Acushnet","Negative",NA,2,60,0,0
"2007-32","Berkley","Negative",NA,5,97,0,0
"2007-32","Dartmouth","Negative",NA,2,20,0,0
"2007-32","Easton","Negative",NA,16,501,0,0
"2007-32","Easton","Positive","EEE",2,96,2,20.8333333333333
"2007-32","Fairhaven","Negative",NA,4,161,0,0
"2007-32","Fall River","Negative",NA,4,122,0,0
"2007-32","Freetown","Negative",NA,6,108,0,0
"2007-32","New Bedford","Negative",NA,11,230,0,0
"2007-32","Raynham","Negative",NA,20,693,0,0
"2007-32","Rehoboth","Negative",NA,3,45,0,0
"2007-32","Rehoboth","Positive","EEE",1,40,1,25
"2007-32","Seekonk","Negative",NA,15,173,0,0
"2007-32","Swansea","Negative",NA,3,76,0,0
"2007-32","Westport","Negative",NA,7,168,0,0
"2007-33","Acushnet","Negative",NA,4,125,0,0
"2007-33","Berkley","Negative",NA,8,152,0,0
"2007-33","Dartmouth","Negative",NA,3,84,0,0
"2007-33","Easton","Negative",NA,14,465,0,0
"2007-33","Easton","Positive","WNV",3,106,3,28.3018867924528
"2007-33","Fairhaven","Negative",NA,3,87,0,0
"2007-33","Fall River","Negative",NA,3,5,0,0
"2007-33","Freetown","Negative",NA,5,92,0,0
"2007-33","Mansfield","Negative",NA,2,18,0,0
"2007-33","New Bedford","Negative",NA,9,260,0,0
"2007-33","Norton","Negative",NA,5,31,0,0
"2007-33","Raynham","Negative",NA,15,433,0,0
"2007-33","Raynham","Positive","WNV",2,58,2,34.4827586206897
"2007-33","Rehoboth","Negative",NA,6,98,0,0
"2007-33","Seekonk","Negative",NA,6,12,0,0
"2007-33","Swansea","Negative",NA,2,11,0,0
"2007-33","Taunton","Negative",NA,2,54,0,0
"2007-33","Westport","Negative",NA,10,172,0,0
"2007-34","Acushnet","Negative",NA,1,51,0,0
"2007-34","Attleboro","Negative",NA,6,48,0,0
"2007-34","Berkley","Negative",NA,7,178,0,0
"2007-34","Dartmouth","Negative",NA,2,36,0,0
"2007-34","Dighton","Negative",NA,3,37,0,0
"2007-34","Easton","Negative",NA,12,158,0,0
"2007-34","Easton","Positive","WNV",1,48,1,20.8333333333333
"2007-34","Fairhaven","Negative",NA,1,10,0,0
"2007-34","Fall River","Negative",NA,6,140,0,0
"2007-34","Freetown","Negative",NA,7,105,0,0
"2007-34","Mansfield","Negative",NA,3,46,0,0
"2007-34","New Bedford","Negative",NA,8,131,0,0
"2007-34","North Attleborough","Negative",NA,4,45,0,0
"2007-34","Norton","Negative",NA,5,89,0,0
"2007-34","Raynham","Negative",NA,9,118,0,0
"2007-34","Rehoboth","Negative",NA,1,6,0,0
"2007-34","Seekonk","Negative",NA,1,46,0,0
"2007-34","Somerset","Negative",NA,1,26,0,0
"2007-34","Swansea","Negative",NA,4,59,0,0
"2007-34","Taunton","Negative",NA,4,49,0,0
"2007-34","Westport","Negative",NA,8,101,0,0
"2007-35","Acushnet","Negative",NA,1,21,0,0
"2007-35","Berkley","Negative",NA,2,64,0,0
"2007-35","Berkley","Positive","EEE",1,24,1,41.6666666666667
"2007-35","Dartmouth","Negative",NA,6,72,0,0
"2007-35","Easton","Negative",NA,15,187,0,0
"2007-35","Easton","Positive","WNV",1,29,1,34.4827586206897
"2007-35","Fairhaven","Negative",NA,1,30,0,0
"2007-35","Fall River","Negative",NA,6,150,0,0
"2007-35","Freetown","Negative",NA,5,102,0,0
"2007-35","Mansfield","Negative",NA,2,10,0,0
"2007-35","New Bedford","Negative",NA,10,191,0,0
"2007-35","Norton","Negative",NA,1,23,0,0
"2007-35","Raynham","Negative",NA,8,124,0,0
"2007-35","Raynham","Positive","EEE",1,50,1,20
"2007-35","Rehoboth","Negative",NA,4,63,0,0
"2007-35","Seekonk","Negative",NA,2,8,0,0
"2007-35","Swansea","Negative",NA,2,17,0,0
"2007-35","Taunton","Negative",NA,3,27,0,0
"2007-35","Westport","Negative",NA,8,171,0,0
"2007-36","Acushnet","Negative",NA,1,19,0,0
"2007-36","Berkley","Negative",NA,3,86,0,0
"2007-36","Dartmouth","Negative",NA,1,3,0,0
"2007-36","Easton","Negative",NA,4,102,0,0
"2007-36","Fairhaven","Negative",NA,1,7,0,0
"2007-36","Fall River","Negative",NA,4,83,0,0
"2007-36","Freetown","Negative",NA,1,5,0,0
"2007-36","Mansfield","Negative",NA,3,28,0,0
"2007-36","New Bedford","Negative",NA,6,78,0,0
"2007-36","Raynham","Negative",NA,7,133,0,0
"2007-36","Raynham","Positive","EEE",1,25,1,40
"2007-36","Rehoboth","Negative",NA,3,12,0,0
"2007-36","Seekonk","Negative",NA,2,22,0,0
"2007-36","Swansea","Negative",NA,2,38,0,0
"2007-36","Taunton","Negative",NA,1,9,0,0
"2007-36","Westport","Negative",NA,5,75,0,0
"2007-37","Acushnet","Negative",NA,2,24,0,0
"2007-37","Berkley","Negative",NA,3,18,0,0
"2007-37","Dartmouth","Negative",NA,2,26,0,0
"2007-37","Easton","Negative",NA,16,536,0,0
"2007-37","Fall River","Negative",NA,3,34,0,0
"2007-37","Freetown","Negative",NA,2,30,0,0
"2007-37","New Bedford","Negative",NA,5,42,0,0
"2007-37","Norton","Negative",NA,1,17,0,0
"2007-37","Raynham","Negative",NA,10,223,0,0
"2007-37","Raynham","Positive","WNV",1,25,1,40
"2007-37","Rehoboth","Negative",NA,1,5,0,0
"2007-37","Seekonk","Negative",NA,2,22,0,0
"2007-37","Swansea","Negative",NA,1,5,0,0
"2007-37","Swansea","Positive","EEE, WNV",1,34,1,29.4117647058824
"2007-37","Taunton","Negative",NA,1,10,0,0
"2007-37","Westport","Negative",NA,4,74,0,0
"2007-38","Berkley","Negative",NA,2,26,0,0
"2007-38","Easton","Negative",NA,6,60,0,0
"2007-38","Fairhaven","Negative",NA,1,3,0,0
"2007-38","Fall River","Negative",NA,2,14,0,0
"2007-38","Freetown","Negative",NA,1,22,0,0
"2007-38","Mansfield","Negative",NA,2,16,0,0
"2007-38","New Bedford","Negative",NA,4,55,0,0
"2007-38","Raynham","Negative",NA,5,83,0,0
"2007-38","Rehoboth","Negative",NA,1,7,0,0
"2007-38","Seekonk","Negative",NA,1,9,0,0
"2007-38","Swansea","Negative",NA,2,12,0,0
"2007-38","Westport","Negative",NA,5,66,0,0
"2007-39","Berkley","Negative",NA,2,47,0,0
"2007-39","Easton","Negative",NA,6,75,0,0
"2007-39","Fall River","Negative",NA,4,30,0,0
"2007-39","Freetown","Negative",NA,3,9,0,0
"2007-39","Mansfield","Negative",NA,1,39,0,0
"2007-39","New Bedford","Negative",NA,3,26,0,0
"2007-39","Raynham","Negative",NA,9,75,0,0
"2007-39","Raynham","Positive","EEE",1,31,1,32.258064516129
"2007-39","Seekonk","Negative",NA,1,6,0,0
"2007-39","Swansea","Negative",NA,1,4,0,0
"2007-39","Westport","Negative",NA,3,36,0,0
"2007-40","Berkley","Positive","EEE",1,15,1,66.6666666666667
"2007-40","Easton","Negative",NA,4,47,0,0
"2007-40","Freetown","Negative",NA,1,7,0,0
"2007-40","New Bedford","Negative",NA,1,5,0,0
"2007-40","Raynham","Negative",NA,3,60,0,0
"2007-40","Rehoboth","Negative",NA,3,14,0,0
"2007-40","Seekonk","Negative",NA,1,4,0,0
"2007-40","Swansea","Negative",NA,1,5,0,0
"2007-40","Westport","Negative",NA,2,22,0,0
"2007-41","Raynham","Negative",NA,5,189,0,0
"2008-23","Easton","Negative",NA,1,29,0,0
"2008-23","New Bedford","Negative",NA,1,36,0,0
"2008-23","Raynham","Negative",NA,1,47,0,0
"2008-24","Easton","Negative",NA,6,205,0,0
"2008-24","Fall River","Negative",NA,4,152,0,0
"2008-24","Raynham","Negative",NA,3,70,0,0
"2008-24","Rehoboth","Negative",NA,2,46,0,0
"2008-24","Seekonk","Negative",NA,2,72,0,0
"2008-24","Swansea","Negative",NA,4,167,0,0
"2008-24","Westport","Negative",NA,1,21,0,0
"2008-25","Easton","Negative",NA,2,60,0,0
"2008-25","New Bedford","Negative",NA,1,42,0,0
"2008-25","Raynham","Negative",NA,2,26,0,0
"2008-26","Dartmouth","Negative",NA,5,233,0,0
"2008-26","Easton","Negative",NA,8,275,0,0
"2008-26","New Bedford","Negative",NA,1,33,0,0
"2008-26","Raynham","Negative",NA,2,75,0,0
"2008-26","Westport","Negative",NA,1,11,0,0
"2008-27","Acushnet","Negative",NA,10,500,0,0
"2008-27","Dartmouth","Negative",NA,6,300,0,0
"2008-27","Easton","Negative",NA,5,218,0,0
"2008-27","New Bedford","Negative",NA,5,210,0,0
"2008-27","Raynham","Negative",NA,2,34,0,0
"2008-27","Seekonk","Negative",NA,6,300,0,0
"2008-27","Swansea","Negative",NA,4,200,0,0
"2008-27","Westport","Negative",NA,1,36,0,0
"2008-28","Attleboro","Negative",NA,3,147,0,0
"2008-28","Dartmouth","Negative",NA,2,100,0,0
"2008-28","Easton","Negative",NA,6,256,0,0
"2008-28","Fall River","Negative",NA,5,236,0,0
"2008-28","New Bedford","Negative",NA,4,160,0,0
"2008-28","North Attleborough","Negative",NA,3,148,0,0
"2008-28","Norton","Negative",NA,3,134,0,0
"2008-28","Raynham","Negative",NA,4,103,0,0
"2008-28","Rehoboth","Negative",NA,1,11,0,0
"2008-29","Acushnet","Negative",NA,6,300,0,0
"2008-29","Dartmouth","Negative",NA,2,100,0,0
"2008-29","Easton","Negative",NA,4,146,0,0
"2008-29","Fall River","Negative",NA,4,185,0,0
"2008-29","Mansfield","Negative",NA,1,45,0,0
"2008-29","New Bedford","Negative",NA,6,279,0,0
"2008-29","North Attleborough","Negative",NA,2,66,0,0
"2008-29","Norton","Negative",NA,3,154,0,0
"2008-29","Raynham","Negative",NA,2,24,0,0
"2008-29","Rehoboth","Negative",NA,1,28,0,0
"2008-29","Seekonk","Negative",NA,3,156,0,0
"2008-29","Swansea","Negative",NA,1,50,0,0
"2008-29","Westport","Negative",NA,1,43,0,0
"2008-30","Attleboro","Negative",NA,2,84,0,0
"2008-30","Dartmouth","Negative",NA,2,80,0,0
"2008-30","Easton","Negative",NA,6,212,0,0
"2008-30","Fall River","Negative",NA,6,301,0,0
"2008-30","Fall River","Positive","WNV",1,50,1,20
"2008-30","Mansfield","Negative",NA,1,40,0,0
"2008-30","New Bedford","Negative",NA,4,200,0,0
"2008-30","Norton","Negative",NA,4,193,0,0
"2008-30","Raynham","Negative",NA,1,24,0,0
"2008-30","Rehoboth","Negative",NA,1,9,0,0
"2008-30","Seekonk","Negative",NA,2,100,0,0
"2008-30","Somerset","Negative",NA,1,50,0,0
"2008-30","Swansea","Negative",NA,2,100,0,0
"2008-30","Westport","Negative",NA,2,65,0,0
"2008-31","Attleboro","Negative",NA,1,53,0,0
"2008-31","Dartmouth","Negative",NA,1,34,0,0
"2008-31","Easton","Negative",NA,4,134,0,0
"2008-31","Fall River","Negative",NA,2,60,0,0
"2008-31","Freetown","Negative",NA,2,71,0,0
"2008-31","Mansfield","Negative",NA,1,31,0,0
"2008-31","New Bedford","Negative",NA,4,179,0,0
"2008-31","North Attleborough","Negative",NA,1,52,0,0
"2008-31","Norton","Negative",NA,2,96,0,0
"2008-31","Raynham","Negative",NA,2,68,0,0
"2008-31","Raynham","Positive","WNV",1,50,1,20
"2008-31","Seekonk","Negative",NA,2,100,0,0
"2008-31","Somerset","Positive","WNV",1,37,1,27.027027027027
"2008-31","Westport","Negative",NA,2,69,0,0
"2008-32","Acushnet","Negative",NA,2,84,0,0
"2008-32","Attleboro","Negative",NA,2,62,0,0
"2008-32","Berkley","Negative",NA,1,13,0,0
"2008-32","Dartmouth","Negative",NA,4,182,0,0
"2008-32","Dartmouth","Positive","WNV",1,31,1,32.258064516129
"2008-32","Easton","Negative",NA,8,354,0,0
"2008-32","Fall River","Negative",NA,4,119,0,0
"2008-32","Freetown","Negative",NA,1,16,0,0
"2008-32","Mansfield","Negative",NA,1,36,0,0
"2008-32","New Bedford","Negative",NA,4,107,0,0
"2008-32","North Attleborough","Negative",NA,1,55,0,0
"2008-32","Norton","Negative",NA,3,138,0,0
"2008-32","Raynham","Negative",NA,3,68,0,0
"2008-32","Seekonk","Negative",NA,2,74,0,0
"2008-32","Somerset","Negative",NA,2,51,0,0
"2008-32","Swansea","Negative",NA,2,99,0,0
"2008-32","Taunton","Negative",NA,1,28,0,0
"2008-32","Westport","Negative",NA,1,52,0,0
"2008-33","Acushnet","Negative",NA,2,104,0,0
"2008-33","Attleboro","Negative",NA,1,19,0,0
"2008-33","Berkley","Negative",NA,1,47,0,0
"2008-33","Berkley","Positive","EEE",1,15,1,66.6666666666667
"2008-33","Dartmouth","Negative",NA,13,574,0,0
"2008-33","Easton","Negative",NA,5,136,0,0
"2008-33","Fairhaven","Negative",NA,2,91,0,0
"2008-33","Fall River","Negative",NA,6,239,0,0
"2008-33","Freetown","Negative",NA,1,34,0,0
"2008-33","Mansfield","Negative",NA,1,15,0,0
"2008-33","New Bedford","Negative",NA,7,232,0,0
"2008-33","New Bedford","Positive","WNV",4,169,4,23.6686390532544
"2008-33","North Attleborough","Negative",NA,1,24,0,0
"2008-33","Norton","Negative",NA,2,102,0,0
"2008-33","Norton","Positive","WNV",1,51,1,19.6078431372549
"2008-33","Raynham","Negative",NA,2,30,0,0
"2008-33","Rehoboth","Negative",NA,2,32,0,0
"2008-33","Seekonk","Negative",NA,7,272,0,0
"2008-33","Somerset","Negative",NA,5,178,0,0
"2008-33","Swansea","Negative",NA,3,123,0,0
"2008-33","Taunton","Negative",NA,1,15,0,0
"2008-33","Westport","Negative",NA,4,137,0,0
"2008-34","Acushnet","Negative",NA,1,36,0,0
"2008-34","Attleboro","Positive","WNV",1,20,1,50
"2008-34","Berkley","Negative",NA,2,30,0,0
"2008-34","Dartmouth","Negative",NA,8,279,0,0
"2008-34","Easton","Negative",NA,7,203,0,0
"2008-34","Fall River","Negative",NA,4,116,0,0
"2008-34","Freetown","Negative",NA,1,14,0,0
"2008-34","Mansfield","Negative",NA,1,31,0,0
"2008-34","New Bedford","Negative",NA,10,369,0,0
"2008-34","North Attleborough","Negative",NA,2,88,0,0
"2008-34","Norton","Negative",NA,7,278,0,0
"2008-34","Raynham","Negative",NA,3,44,0,0
"2008-34","Rehoboth","Negative",NA,4,128,0,0
"2008-34","Seekonk","Positive","WNV",1,54,1,18.5185185185185
"2008-34","Somerset","Negative",NA,1,44,0,0
"2008-34","Swansea","Negative",NA,2,69,0,0
"2008-34","Taunton","Negative",NA,1,33,0,0
"2008-34","Westport","Negative",NA,4,63,0,0
"2008-34","Westport","Positive","WNV",1,15,1,66.6666666666667
"2008-35","Acushnet","Negative",NA,2,72,0,0
"2008-35","Attleboro","Negative",NA,2,45,0,0
"2008-35","Dartmouth","Negative",NA,2,75,0,0
"2008-35","Easton","Negative",NA,5,130,0,0
"2008-35","Easton","Positive","WNV",1,11,1,90.9090909090909
"2008-35","Fall River","Negative",NA,3,102,0,0
"2008-35","Freetown","Negative",NA,1,13,0,0
"2008-35","Mansfield","Negative",NA,1,7,0,0
"2008-35","New Bedford","Negative",NA,10,350,0,0
"2008-35","New Bedford","Positive","WNV",1,50,1,20
"2008-35","North Attleborough","Negative",NA,1,52,0,0
"2008-35","Norton","Negative",NA,1,50,0,0
"2008-35","Raynham","Negative",NA,4,107,0,0
"2008-35","Rehoboth","Negative",NA,3,39,0,0
"2008-35","Seekonk","Negative",NA,1,37,0,0
"2008-35","Somerset","Negative",NA,1,35,0,0
"2008-35","Swansea","Negative",NA,1,25,0,0
"2008-35","Taunton","Negative",NA,1,26,0,0
"2008-35","Westport","Negative",NA,3,79,0,0
"2008-36","Acushnet","Negative",NA,2,106,0,0
"2008-36","Attleboro","Negative",NA,1,7,0,0
"2008-36","Berkley","Negative",NA,2,63,0,0
"2008-36","Dartmouth","Negative",NA,2,81,0,0
"2008-36","Easton","Negative",NA,6,95,0,0
"2008-36","Fall River","Negative",NA,2,24,0,0
"2008-36","Freetown","Negative",NA,4,153,0,0
"2008-36","Mansfield","Negative",NA,1,11,0,0
"2008-36","New Bedford","Negative",NA,6,208,0,0
"2008-36","New Bedford","Positive","WNV",2,85,2,23.5294117647059
"2008-36","North Attleborough","Negative",NA,2,77,0,0
"2008-36","Norton","Negative",NA,1,50,0,0
"2008-36","Raynham","Negative",NA,1,9,0,0
"2008-36","Rehoboth","Negative",NA,1,19,0,0
"2008-36","Seekonk","Negative",NA,5,149,0,0
"2008-36","Somerset","Negative",NA,1,10,0,0
"2008-36","Swansea","Negative",NA,2,64,0,0
"2008-36","Taunton","Negative",NA,1,26,0,0
"2008-36","Westport","Negative",NA,4,62,0,0
"2008-37","Acushnet","Negative",NA,2,53,0,0
"2008-37","Berkley","Negative",NA,1,21,0,0
"2008-37","Dartmouth","Negative",NA,6,243,0,0
"2008-37","Easton","Negative",NA,3,40,0,0
"2008-37","Freetown","Negative",NA,6,208,0,0
"2008-37","Freetown","Positive","EEE",2,72,2,27.7777777777778
"2008-37","Mansfield","Negative",NA,1,12,0,0
"2008-37","New Bedford","Negative",NA,6,186,0,0
"2008-37","Norton","Negative",NA,1,11,0,0
"2008-37","Raynham","Negative",NA,2,21,0,0
"2008-37","Raynham","Positive","EEE",1,31,1,32.258064516129
"2008-37","Rehoboth","Negative",NA,1,12,0,0
"2008-37","Westport","Negative",NA,3,35,0,0
"2008-38","Acushnet","Negative",NA,2,42,0,0
"2008-38","Berkley","Negative",NA,3,33,0,0
"2008-38","Dartmouth","Negative",NA,2,62,0,0
"2008-38","Easton","Negative",NA,3,36,0,0
"2008-38","Fall River","Negative",NA,11,452,0,0
"2008-38","Fall River","Positive","WNV",2,100,2,20
"2008-38","Freetown","Negative",NA,10,221,0,0
"2008-38","New Bedford","Negative",NA,8,266,0,0
"2008-38","New Bedford","Positive","EEE",4,190,4,21.0526315789474
"2008-38","Raynham","Negative",NA,2,12,0,0
"2008-38","Rehoboth","Negative",NA,1,8,0,0
"2008-38","Seekonk","Negative",NA,2,68,0,0
"2008-38","Swansea","Negative",NA,2,96,0,0
"2008-38","Westport","Negative",NA,1,5,0,0
"2008-39","Berkley","Negative",NA,1,18,0,0
"2008-39","Fall River","Negative",NA,2,49,0,0
"2008-39","Freetown","Negative",NA,4,157,0,0
"2008-39","New Bedford","Negative",NA,5,124,0,0
"2008-40","Easton","Negative",NA,3,25,0,0
"2008-40","Freetown","Negative",NA,2,65,0,0
"2008-40","New Bedford","Negative",NA,8,265,0,0
"2008-40","New Bedford","Positive","EEE",2,100,2,20
"2008-40","Raynham","Negative",NA,4,132,0,0
"2008-40","Raynham","Positive","EEE",1,15,1,66.6666666666667
"2008-41","New Bedford","Negative",NA,5,126,0,0
"2008-41","New Bedford","Positive","WNV",2,47,2,42.5531914893617
"2009-26","Dartmouth","Negative",NA,1,34,0,0
"2009-26","Dighton","Negative",NA,1,37,0,0
"2009-26","Easton","Negative",NA,4,180,0,0
"2009-26","Fall River","Negative",NA,3,85,0,0
"2009-26","New Bedford","Negative",NA,3,119,0,0
"2009-26","Rehoboth","Negative",NA,2,91,0,0
"2009-26","Seekonk","Negative",NA,1,20,0,0
"2009-26","Swansea","Negative",NA,1,13,0,0
"2009-26","Westport","Negative",NA,1,13,0,0
"2009-27","Easton","Negative",NA,3,129,0,0
"2009-27","New Bedford","Negative",NA,2,82,0,0
"2009-27","Rehoboth","Negative",NA,1,24,0,0
"2009-27","Westport","Negative",NA,1,50,0,0
"2009-28","Easton","Negative",NA,1,22,0,0
"2009-28","New Bedford","Negative",NA,1,35,0,0
"2009-28","Raynham","Negative",NA,1,25,0,0
"2009-28","Rehoboth","Negative",NA,1,17,0,0
"2009-29","Berkley","Negative",NA,1,53,0,0
"2009-29","Easton","Negative",NA,3,59,0,0
"2009-29","Fall River","Negative",NA,2,83,0,0
"2009-29","Freetown","Negative",NA,5,233,0,0
"2009-29","Freetown","Positive","EEE",1,50,1,20
"2009-29","New Bedford","Negative",NA,5,199,0,0
"2009-29","Raynham","Negative",NA,7,213,0,0
"2009-29","Rehoboth","Negative",NA,1,16,0,0
"2009-29","Seekonk","Negative",NA,1,47,0,0
"2009-29","Swansea","Negative",NA,1,50,0,0
"2009-29","Westport","Negative",NA,1,18,0,0
"2009-30","Berkley","Negative",NA,4,162,0,0
"2009-30","Dartmouth","Negative",NA,2,89,0,0
"2009-30","Easton","Negative",NA,10,495,0,0
"2009-30","Fall River","Negative",NA,7,341,0,0
"2009-30","Freetown","Negative",NA,10,474,0,0
"2009-30","Mansfield","Negative",NA,1,47,0,0
"2009-30","New Bedford","Negative",NA,9,374,0,0
"2009-30","Norton","Negative",NA,1,27,0,0
"2009-30","Raynham","Negative",NA,16,729,0,0
"2009-30","Rehoboth","Negative",NA,3,132,0,0
"2009-30","Westport","Negative",NA,3,127,0,0
"2009-31","Berkley","Negative",NA,3,123,0,0
"2009-31","Easton","Negative",NA,7,350,0,0
"2009-31","Fall River","Negative",NA,5,242,0,0
"2009-31","Freetown","Negative",NA,4,200,0,0
"2009-31","New Bedford","Negative",NA,4,158,0,0
"2009-31","Raynham","Negative",NA,18,870,0,0
"2009-31","Rehoboth","Negative",NA,1,30,0,0
"2009-31","Seekonk","Negative",NA,1,50,0,0
"2009-31","Swansea","Negative",NA,1,49,0,0
"2009-31","Westport","Negative",NA,3,117,0,0
"2009-32","Berkley","Negative",NA,1,48,0,0
"2009-32","Easton","Negative",NA,12,572,0,0
"2009-32","Fall River","Negative",NA,5,209,0,0
"2009-32","Freetown","Negative",NA,4,161,0,0
"2009-32","Freetown","Positive","EEE",1,50,1,20
"2009-32","New Bedford","Negative",NA,12,527,0,0
"2009-32","Raynham","Negative",NA,10,455,0,0
"2009-32","Rehoboth","Negative",NA,4,189,0,0
